,email,EndDate,importance_check,importance_bars,importance_recommend,importance_world,importance_feedback,desc_decision,desc_rec,desc_helpful,desc_frustrated,dec_decision_other,se_post,mindset_post,gender,ethnicity,num_prior_courses,degree_in_progress,university_current,degree,test_score,uid,condition,name,se_post_label,se_pre,se_pre_label,se_delta,se_delta_label,num_ex_correct,num_ex_attempted,num_ex_submits,entropy,entropy_prop_max,bin_test_score,bin_test_score_num,bin_num_ex_attempted,bin_num_ex_attempted_num,bin_num_ex_correct,bin_num_ex_correct_num,predicted,residuals
1,,,Extremely important,Moderately important,Not at all important,Extremely important,Very important,,,,,,5.90625,growth,,,0,,,,29.75,,E1,,high,5.0625,high,0.84375,low,43,43,66,6.367738735,0.96482164,"(28.5,31.5]",10,"(40.7,44]",12,"(39.7,43]",12,18.96265113,10.78734887
2,,,Very important,Moderately important,Moderately important,Very important,Moderately important,,,,,,5.65625,growth,,,0,,,,17.5,,E1,,high,3.375,high,2.28125,high,36,39,95,6.151647187,0.970314311,"(16.5,19.5]",6,"(37.3,40.7]",11,"(33,36.3]",10,20.54664042,-3.046640421
3,,,Very important,Moderately important,Not applicable (N/A),Extremely important,Very important,,,,,,3.1875,growth,,,0,,,,8.25,,C1,,low,1.53125,med,1.65625,med,43,43,115,6.164155963,0.942652739,"(7.5,10.5]",3,"(40.7,44]",12,"(39.7,43]",12,20.33254881,-12.08254881
4,,,Moderately important,Moderately important,Extremely important,Moderately important,Very important,,,,,,3.40625,growth,,,0,,,,9.5,,C2,,med,2.15625,med,1.25,low,9,9,34,6.182005815,0.97238777,"(7.5,10.5]",3,"(7.33,10.7]",2,"(6.33,9.67]",2,13.38614329,-3.886143291
5,,,Very important,Not applicable (N/A),Not applicable (N/A),Slightly important,Moderately important,,,,,,3.09375,fixed,,,0,,,,37.5,,C1,,low,1.84375,med,1.25,low,43,44,70,6.521823383,0.981632232,"(34.5,37.5]",12,"(40.7,44]",12,"(39.7,43]",12,19.23874025,18.26125975
6,,,Moderately important,Not applicable (N/A),Not applicable (N/A),Extremely important,Slightly important,,,,,,4.8125,growth,,,0,,,,23.75,,C1,,high,3.625,high,1.1875,low,43,43,98,6.52479383,0.969808409,"(22.5,25.5]",8,"(40.7,44]",12,"(39.7,43]",12,19.07046201,4.679537987
7,,,Slightly important,Slightly important,Slightly important,Moderately important,Slightly important,,,,,,2.6875,fixed,,,1,,,,6.5,,C2,,low,3.59375,high,-0.90625,low,43,44,154,7.153216558,0.96653602,"(4.5,7.5]",2,"(40.7,44]",12,"(39.7,43]",12,20.11795506,-13.61795506
8,,,Extremely important,Moderately important,Moderately important,Not applicable (N/A),Not at all important,,,,,,4.71875,growth,,,0,,,,30,,C2,,high,1.3125,low,3.40625,high,30,30,97,6.938753524,0.989663189,"(28.5,31.5]",10,"(27.3,30.7]",8,"(29.7,33]",9,26.05097323,3.949026768
9,,,Moderately important,Moderately important,Slightly important,Very important,Very important,,,,,,4.625,growth,,,1,,,,12.75,,C1,,high,2.59375,high,2.03125,med,43,43,113,5.900944311,0.953329816,"(10.5,13.5]",4,"(40.7,44]",12,"(39.7,43]",12,22.77420822,-10.02420822
10,,,Extremely important,Very important,Slightly important,Moderately important,Extremely important,,,,,,1.90625,growth,,,0,,,,8,,E1,,low,1,low,0.90625,low,43,44,110,6.138116197,0.952688193,"(7.5,10.5]",3,"(40.7,44]",12,"(39.7,43]",12,19.13092937,-11.13092937
11,,,Very important,Extremely important,Moderately important,Slightly important,Very important,,,,,,4.25,growth,,,0,,,,23.5,,E1,,med,3.4375,high,0.8125,low,31,33,68,4.931151216,0.946577476,"(22.5,25.5]",8,"(30.7,34]",9,"(29.7,33]",9,14.95895163,8.541048373
12,,,Extremely important,Very important,Extremely important,Very important,Extremely important,,,,,,3,mix,,,0,,,,16.5,,C2,,low,1,low,2,med,40,41,140,6.88306083,0.96828264,"(13.5,16.5]",5,"(40.7,44]",12,"(39.7,43]",12,25.53101315,-9.031013153
13,,,Moderately important,Moderately important,Moderately important,Very important,Moderately important,,,,,,4.6875,growth,,,0,,,,27,,E1,,high,1.96875,med,2.71875,high,43,43,63,5.975684803,0.971696021,"(25.5,28.5]",9,"(40.7,44]",12,"(39.7,43]",12,24.01099832,2.989001678
14,,,Very important,Very important,Moderately important,Moderately important,Moderately important,,,,,,2.65625,growth,,,0,,,,28.5,,E1,,low,1,low,1.65625,med,42,43,90,6.173599637,0.971065535,"(25.5,28.5]",9,"(40.7,44]",12,"(39.7,43]",12,20.82363821,7.676361786
15,,,Extremely important,Very important,Slightly important,Very important,Extremely important,,,,,,6.1875,growth,,,0,,,,30.5,,E1,,high,3.5,high,2.6875,high,43,43,78,6.099937373,0.959478958,"(28.5,31.5]",10,"(40.7,44]",12,"(39.7,43]",12,23.9268592,6.573140797
