concept,is_read,initial,transfer
arithmeticOperators,read,0.25,0.3
arithmeticOperators,write,0.15,0.2
conditionals,read,0.15,0.2
conditionals,write,0.1,0.15
dataTypes,read,0.25,0.3
dataTypes,write,0.25,0.25
digitProcessing,read,0.05,0.15
digitProcessing,write,0.1,0.2
findMaxMin,read,0.1,0.2
findMaxMin,write,0.15,0.2
floatEquality,read,0.15,0.2
floatEquality,write,0.1,0.25
printStatements,read,0.25,0.2
printStatements,write,0.2,0.2
relationalOperators,read,0.15,0.25
relationalOperators,write,0.1,0.2
variables,read,0.25,0.2
variables,write,0.2,0.2
variableSwap,read,0.05,0.15
variableSwap,write,0.1,0.25
