exercise id,exercise name,Concept,Type,Num questions,hints?,guess,slip,param status,submit works as of,comments
types-read-rules,,dataTypes,READ,1,,0.2,0.03,added to firebase,8/14/2019,
-LH_KNtUIv-mnBkZz2-k,,dataTypes,READ,1,,0.05,0.15,added to firebase,7/8/2019,
-LH_OAGDyCokBioKVd-r,,dataTypes,WRITE,1,yes,0.15,0.05,added to firebase,7/8/2019,
types-write-bool,,dataTypes,WRITE,1,yes,0.1,0.05,added to firebase,7/11/2019,
read-relop-1,,relationalOperators,READ,1,yes,0.05,0.1,added to firebase,9/25/2019,
-LIItTeMr_aqRg9e-1Bj,,relationalOperators,READ,1,,0.1,0.15,added to firebase,7/8/2019,
-LIIYPUAuVbTHQbf97IA,,relationalOperators,WRITE,1,,0.01,0.15,added to firebase,7/8/2019,
relational-write-math,,relationalOperators,WRITE,1,,0.01,0.15,added to firebase,7/11/2019,
conditional-read-elif,,conditionals,READ,1,,0.18,0.15,added to firebase,,
-LIN493kRDPdiQKI5uQ6,,conditionals,READ,1,,0.15,0.18,added to firebase,8/15/2019,
conditional-read-2ifs,,conditionals,READ,1,,0.1,0.2,added to firebase,8/15,
-LI8QOtFfifzxyopSg9a,,conditionals,WRITE,1,,0.01,0.2,added to firebase,7/8/2019,
-LHtTLcZYq9HG7-5hA7o,,arithmeticOperators,READ,1,,0.1,0.1,added to firebase,8/29/2019,
arith-read-var,,arithmeticOperators,READ,1,,0.5,0.1,added to firebase,8/29/2019,
arith-write-simple,,arithmeticOperators,WRITE,1,,0.05,0.1,added to firebase,8/29/2019,
-LIDqHrs-j4LijIs8nzg,,arithmeticOperators,WRITE,1,,0.05,0.15,added to firebase,8/29/2019,
-LHdzxfzAahw8MWKFSV_,,variables,READ,1,,0.2,0.05,added to firebase,7/7/2019,fixed w/ #295
-LHid2oYERT-n-i-0tkL,,variables,READ,1,,0.15,0.1,added to firebase,7/8/2019,
-LHeQczvZEEVsszLiWHU,,variables,READ,1,,0.1,0.15,added to firebase,9/24/2019,
-LHifx2aSN84XhSiLABp,,variables,WRITE,1,,0.15,0.1,added to firebase,10/1/2019,
write-var-1,,variables,WRITE,1,,0.14,0.1,added to firebase,9/24/2019,
-LIMzZDOL9IHPoy8Usfz,,printStatements,READ,1,,0.1,0.05,added to firebase,7/8/2019,
read-print-1,,printStatements,READ,1,,,,,,
-LII4_3hnAydP177H06u,,printStatements,WRITE,1,,0.05,0.15,added to firebase,10/1,follow-up broken (but removed)
write-print-1,,printStatements,WRITE,1,,0.05,0.08,added to firebase,10/1,follow-up broken (but removed)
findMaxMin_read_00,,findMinMax,READ,1,,0.1,0.15,added to firebase,7/23/2019,
findMaxMin_read_01,,findMinMax,READ,1,,0.1,0.15,added to firebase,7/23/2019,
findMaxMin_read_02,,findMinMax,READ,1,,0.1,0.15,added to firebase,7/23/2019,
-LI7Y47TE6sfVWM6mk0y,,findMinMax,WRITE,1,,0.01,0.2,added to firebase,7/8/2019,
,,findMinMax,WRITE,,,,,,,
floatEquality_read_00,,floatEquality,READ,1,,0.1,0.15,added to firebase,10/2,
floatEquality_read_01,,floatEquality,READ,1,,0.1,0.15,added to firebase,10/2,
floatEquality_read_02,,floatEquality,READ,1,,0.1,0.15,added to firebase,10/2,
-LI8V0KDdN1jMltnrCJK,,floatEquality,WRITE,1,,0.01,0.2,added to firebase,7/8/2019,
,,floatEquality,WRITE,,,,,,,
-LI7eFZrIo7PKFLDo3uO,,digitProcessing,READ,1,,0.25,0.1,added to firebase,10/2/2019,
digit-read-02,,digitProcessing,READ,1,,0.15,0.2,added to firebase,10/2,
digit-read-03,,digitProcessing,READ,1,,0.2,0.15,added to firebase,10/2,
read-digit-div,,floatEquality,READ,1,,0.2,0.11,added to firebase,,
-LI7jxOzdaWOL-pL12lc,,digitProcessing,WRITE,1,,0.01,0.2,added to firebase,8/16,
digit-write-simple,,digitProcessing,WRITE,1,,0.02,0.18,added to firebase,10/2,
varswap_read_00,,variableSwap,READ,1,,0.1,0.2,added to firebase,7/8/2019,
varswap_read_01,,variableSwap,READ,1,,0.1,0.2,added to firebase,7/23/2019,
varswap_read_02,,variableSwap,READ,1,,0.1,0.2,added to firebase,7/23/2019,
-LI7eglW5ulpzrxa8Kns,,variableSwap,WRITE,1,,0.1,0.15,added to firebase,7/8/2019,
